Size,Selection,Merge,Counting
100,0.011828,0.036634,5.59809
200,0.039769,0.085868,4.12455
300,0.075191,0.101551,2.70046
400,0.130363,0.126058,1.51502
500,0.207939,0.150153,1.49214
600,0.290522,0.190012,1.42368
700,0.392253,0.222691,1.47869
800,0.479612,0.277883,1.46312
900,0.607642,0.245365,1.46769
1000,0.748111,0.32976,1.51198
1100,0.939786,0.345453,1.46916
1200,1.10442,0.408157,1.46009
1300,1.29825,0.43761,1.48432
1400,1.49477,0.484509,1.42388
1500,1.69921,0.482227,1.45876
1600,1.90271,0.510899,1.16114
1700,2.11414,0.560874,1.50032
1800,2.4032,0.584558,1.49093
1900,6.484,0.594684,1.53003
2000,2.97653,0.641803,1.4907
2100,9.14152,0.84872,1.58832
2200,3.57316,0.746859,1.52088
2300,3.92492,0.76063,1.50285
2400,3.02169,0.560423,0.810443
2500,2.38174,0.561824,0.792427
2600,2.58957,0.583507,0.786098
2700,2.75224,0.604247,0.896761
2800,2.95595,0.615174,0.804515
2900,3.16166,0.653911,0.797655
3000,3.58912,0.665869,0.808912
3100,3.60814,0.68648,0.811365
3200,3.91405,0.717927,0.849141
3300,4.07614,0.743193,0.810895
3400,4.43095,0.798776,0.911123
3500,4.63985,0.768392,0.844324
3600,4.8543,0.782172,0.81438
3700,5.13237,0.815761,0.817313
3800,7.75465,2.95379,1.42094
3900,10.016,0.856082,0.817584
4000,6.03043,0.880367,0.927238
4100,6.28095,0.874068,0.846537
4200,6.72299,0.945314,0.818776
4300,7.02636,1.00881,0.825887
4400,7.30475,0.991342,0.849672
4500,9.86876,1.03527,0.858995
4600,8.0323,1.0319,0.843163
4700,11.1428,1.07875,0.843372
4800,11.8583,1.10321,0.84797
4900,8.94716,1.11709,3.14066
5000,9.56906,1.16437,0.859387
5100,9.63219,1.1857,0.842431
5200,10.2209,1.22605,0.843553
5300,10.3867,1.22621,0.834209
5400,10.9705,1.25076,0.831425
5500,12.1364,1.87125,1.38768
5600,18.8487,2.06436,2.00159
5700,19.6665,2.16241,2.07089
5800,30.1905,2.14901,2.00511
5900,24.9872,1.8923,0.932455
6000,13.5259,1.40653,0.85492
6100,13.7459,1.5092,0.871324
6200,17.1408,1.64648,1.52228
6300,15.6592,1.46908,0.867849
6400,15.4299,1.68926,1.5826
6500,25.7637,2.16539,1.56112
6600,23.1984,1.5562,0.850684
6700,16.7592,1.5435,1.43058
6800,19.0377,1.55988,0.883031
6900,20.1667,1.72179,0.895861
7000,18.2794,1.62231,0.946386
7100,21.1866,1.6333,0.891925
7200,29.7161,1.64927,0.927147
7300,22.3624,1.81043,0.871674
7400,22.0003,1.68508,0.901099
7500,22.0137,1.72593,1.07671
7600,37.2521,2.75435,2.05954
7700,42.8503,2.85601,2.06583
7800,30.8266,1.76035,0.895961
7900,26.0092,2.12682,1.06775
8000,24.4697,1.85813,0.886947
8100,26.3784,1.80814,0.869962
8200,27.2771,1.86097,0.941388
8300,25.5645,1.90438,0.929841
8400,26.3201,1.92883,0.887889
8500,57.3044,2.85232,1.62665
8600,61.4556,3.00348,2.49226
8700,34.7049,2.02847,0.90237
8800,44.0298,3.62739,2.25324
8900,60.8417,2.12568,1.14681
9000,30.2769,2.18954,0.960136
9100,35.3074,2.19374,0.909491
9200,33.749,2.13151,0.915179
9300,31.9669,2.20767,0.889952
9400,48.3668,9.91509,1.6049
9500,51.4344,2.29604,0.958274
9600,35.3126,2.25659,0.894128
9700,37.5957,2.29342,0.925255
9800,52.7324,3.88298,2.11597
9900,68.8931,2.32671,0.94259
10000,38.6828,2.38861,0.934338
